schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion
USC2017,1,0,0,0,0,0
UNC Wilmington2017,0,0,0,0,0,0
East Tennessee St.2017,0,0,0,0,0,0
New Mexico St.2017,0,0,0,0,0,0
Troy2017,0,0,0,0,0,0
Mount St. Mary's2017,0,0,0,0,0,0
New Orleans2017,0,0,0,0,0,0
Gonzaga2017,1,1,1,1,1,0
Arizona2017,1,1,0,0,0,0
Florida St.2017,1,0,0,0,0,0
West Virginia2017,1,1,0,0,0,0
Notre Dame2017,1,0,0,0,0,0
Maryland2017,0,0,0,0,0,0
Saint Mary's2017,1,0,0,0,0,0
Northwestern2017,1,0,0,0,0,0
Vanderbilt2017,0,0,0,0,0,0
VCU2017,0,0,0,0,0,0
Xavier2017,1,1,1,0,0,0
Princeton2017,0,0,0,0,0,0
Bucknell2017,0,0,0,0,0,0
Florida Gulf Coast2017,0,0,0,0,0,0
North Dakota2017,0,0,0,0,0,0
South Dakota St.2017,0,0,0,0,0,0
Kansas2017,1,1,1,0,0,0
Louisville2017,1,0,0,0,0,0
Oregon2017,1,1,1,1,0,0
Purdue2017,1,1,0,0,0,0
Iowa St.2017,1,0,0,0,0,0
Creighton2017,0,0,0,0,0,0
Michigan2017,1,1,0,0,0,0
Miami FL2017,0,0,0,0,0,0
Michigan St.2017,1,0,0,0,0,0
Oklahoma St.2017,0,0,0,0,0,0
Rhode Island2017,1,0,0,0,0,0
Nevada2017,0,0,0,0,0,0
Vermont2017,0,0,0,0,0,0
Iona2017,0,0,0,0,0,0
Jacksonville St.2017,0,0,0,0,0,0
North Carolina Central2017,0,0,0,0,0,0
UC Davis2017,0,0,0,0,0,0
North Carolina2017,1,1,1,1,1,1
Kentucky2017,1,1,1,0,0,0
UCLA2017,1,1,0,0,0,0
Butler2017,1,1,0,0,0,0
Minnesota2017,0,0,0,0,0,0
Cincinnati2017,1,0,0,0,0,0
Dayton2017,0,0,0,0,0,0
Arkansas2017,1,0,0,0,0,0
Seton Hall2017,0,0,0,0,0,0
Wichita St.2017,1,0,0,0,0,0
Kansas St.2017,0,0,0,0,0,0
Wake Forest2017,0,0,0,0,0,0
Middle Tennessee2017,1,0,0,0,0,0
Winthrop2017,0,0,0,0,0,0
Kent St.2017,0,0,0,0,0,0
Northern Kentucky2017,0,0,0,0,0,0
Texas Southern2017,0,0,0,0,0,0
Virginia2018,0,0,0,0,0,0
Cincinnati2018,1,0,0,0,0,0
Tennessee2018,1,0,0,0,0,0
Arizona2018,0,0,0,0,0,0
Kentucky2018,1,1,0,0,0,0
Miami FL2018,0,0,0,0,0,0
Nevada2018,1,1,0,0,0,0
Creighton2018,0,0,0,0,0,0
Kansas St.2018,1,1,1,0,0,0
Texas2018,0,0,0,0,0,0
Loyola Chicago2018,1,1,1,1,0,0
Davidson2018,0,0,0,0,0,0
